risk_segment,n_applicants,actual_default_rate,mean_predicted_probability,false_negatives,false_positives
1 (lowest risk),12301.0,0.015283310299975612,0.013333534821867943,188.0,0.0
2,12300.0,0.03121951219512195,0.031432900577783585,384.0,0.0
3,12301.0,0.05007722949353711,0.04998169466853142,616.0,0.0
4,12300.0,0.08813008130081301,0.0942985936999321,478.0,4850.0
5 (highest risk),12301.0,0.21892529062677832,0.21202504634857178,0.0,9608.0
