feature,importance
num__PREV_POS_SK_DPD_MEAN_MAX,0.0005934664
num__DEF_60_CNT_SOCIAL_CIRCLE,0.0005833053
num__PREV_INST_AMT_PAYMENT_MIN_MAX,0.0005695809
num__PREV_INST_NUM_INSTALMENT_NUMBER_SUM_MEAN,0.00056784163
cat__OCCUPATION_TYPE_High skill tech staff,0.00053411693
num__PREV_INST_AMT_PAYMENT_STD_MAX,0.00053387764
num__OBS_60_CNT_SOCIAL_CIRCLE,0.0005327164
num__PREV_DAYS_DECISION_MIN,0.0005241933
num__PREV_DAYS_FIRST_DRAWING_SUM,0.00051823526
num__ENTRANCES_AVG,0.00051822345
num__PREV_POS_CNT_INSTALMENT_FUTURE_MIN_MEAN,0.0005085415
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,0.00050191587
num__PREV_POS_SK_DPD_DEF_MEAN_MEAN,0.00049880537
num__PREV_INST_DAYS_INSTALMENT_STD_MAX,0.0004973006
num__PREV_POS_SK_DPD_DEF_STD_MAX,0.0004956517
num__PREV_INST_NUM_INSTALMENT_VERSION_MAX_MEAN,0.0004949382
num__BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,0.0004930183
num__PREV_CC_AMT_DRAWINGS_ATM_CURRENT_SUM_MAX,0.000491009
num__BUREAU_DAYS_CREDIT_UPDATE_MIN,0.0004856839
num__PREV_POS_CNT_INSTALMENT_STD_MAX,0.00048110483
num__PREV_RATE_DOWN_PAYMENT_SUM,0.00047312208
num__PREV_CC_CNT_DRAWINGS_CURRENT_STD_MEAN,0.0004709926
cat__HOUSETYPE_MODE_missing,0.0004537968
num__LIVINGAREA_AVG,0.00044508374
num__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,0.0004298171
num__BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,0.00042820282
num__DAYS_ID_PUBLISH,0.0004217189
num__PREV_CNT_PAYMENT_SUM,0.00041964202
cat__ORGANIZATION_TYPE_Construction,0.00041030077
num__ENTRANCES_MEDI,0.00040270574
num__PREV_CC_CNT_DRAWINGS_CURRENT_MEAN_MAX,0.0004009688
num__DAYS_LAST_PHONE_CHANGE,0.00040073108
num__PREV_DAYS_FIRST_DUE_STD,0.0004004653
num__PREV_INST_AMT_PAYMENT_STD_MEAN,0.00038880546
cat__ORGANIZATION_TYPE_School,0.0003871511
num__PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,0.00038421858
num__PREV_POS_CNT_INSTALMENT_FUTURE_MEAN_MEAN,0.00037988933
num__OWN_CAR_AGE,0.000375058
cat__OCCUPATION_TYPE_Accountants,0.00035842095
