model,threshold,TN,FP,FN,TP,recall,precision,f1,total_cost
XGBoost,0.63,226111,37,19787,73,0.003675730110775428,0.6636363636363637,0.0073109664496745115,197907
XGBoost,0.64,226117,31,19798,62,0.003121852970795569,0.6666666666666666,0.006214604320152358,198011
XGBoost,0.65,226121,27,19810,50,0.0025176233635448137,0.6493506493506493,0.005015799769273211,198127
XGBoost,0.66,226123,25,19819,41,0.0020644511581067474,0.6212121212121212,0.00411522633744856,198215
XGBoost,0.67,226126,22,19825,35,0.0017623363544813696,0.6140350877192983,0.0035145855299492895,198272
XGBoost,0.68,226128,20,19829,31,0.0015609264853977845,0.6078431372549019,0.0031138566621465523,198310
XGBoost,0.6900000000000001,226131,17,19835,25,0.0012588116817724068,0.5952380952380952,0.0025123103205707967,198367
XGBoost,0.7000000000000001,226134,14,19840,20,0.0010070493454179255,0.5882352941176471,0.0020106564793405048,198414
XGBoost,0.7100000000000001,226138,10,19843,17,0.0008559919436052367,0.6296296296296297,0.0017096595766078343,198440
XGBoost,0.72,226138,10,19847,13,0.0006545820745216516,0.5652173913043478,0.001307649751043605,198480
XGBoost,0.73,226142,6,19850,10,0.0005035246727089627,0.625,0.001006238679814852,198506
XGBoost,0.74,226144,4,19851,9,0.00045317220543806646,0.6923076923076923,0.0009057515221657526,198514
XGBoost,0.75,226144,4,19851,9,0.00045317220543806646,0.6923076923076923,0.0009057515221657526,198514
XGBoost,0.76,226148,0,19854,6,0.00030211480362537764,1.0,0.0006040471156750226,198540
XGBoost,0.77,226148,0,19856,4,0.0002014098690835851,1.0,0.0004027386226339106,198560
XGBoost,0.78,226148,0,19857,3,0.00015105740181268882,1.0,0.00030206917384080956,198570
XGBoost,0.79,226148,0,19857,3,0.00015105740181268882,1.0,0.00030206917384080956,198570
XGBoost,0.8,226148,0,19858,2,0.00010070493454179255,1.0,0.0002013895881582922,198580
XGBoost,0.81,226148,0,19858,2,0.00010070493454179255,1.0,0.0002013895881582922,198580
XGBoost,0.8200000000000001,226148,0,19859,1,5.0352467270896274e-05,1.0,0.00010069986405518353,198590
XGBoost,0.8300000000000001,226148,0,19859,1,5.0352467270896274e-05,1.0,0.00010069986405518353,198590
XGBoost,0.8400000000000001,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.85,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.86,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.87,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.88,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.89,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.9,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.91,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.92,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.93,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.9400000000000001,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.9500000000000001,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.9600000000000001,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.97,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.98,226148,0,19860,0,0.0,0.0,0.0,198600
XGBoost,0.99,226148,0,19860,0,0.0,0.0,0.0,198600
