feature,importance
num__PREV_POS_CNT_INSTALMENT_FUTURE_MIN_MEAN,0.11432401293214164
num__PREV_CC_MONTHS_BALANCE_STD_MAX,0.11304876922498588
num__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,0.11302590130550977
num__BUREAU_DAYS_CREDIT_UPDATE_MEAN,0.11279888797513761
num__REGION_RATING_CLIENT_W_CITY,0.1120096156564279
num__PREV_POS_CNT_INSTALMENT_MEAN_MAX,0.11144595990865475
num__HAS_BUREAU_HISTORY,0.11138304938306712
cat__NAME_TYPE_SUITE_missing,0.10996810170721566
cat__ORGANIZATION_TYPE_Industry: type 5,0.10768213932616047
num__PREV_DAYS_LAST_DUE_MAX,0.106940829056854
num__PREV_INST_DAYS_INSTALMENT_MEAN_MAX,0.10555846071764761
num__PREV_AMT_APPLICATION_MEAN,0.1049926604662179
cat__OCCUPATION_TYPE_High skill tech staff,0.10394315316805476
num__PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MAX,0.10330320587867403
num__PREV_POS_SK_DPD_MEAN_MAX,0.10303152028489217
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.10161484961520784
num__PREV_POS_SK_DPD_DEF_STD_MEAN,0.10103360764539676
num__PREV_POS_CNT_INSTALMENT_FUTURE_MAX_MAX,0.10062979834212003
cat__NAME_HOUSING_TYPE_Rented apartment,0.10035516411485798
num__PREV_INST_NUM_INSTALMENT_VERSION_MEAN_MAX,0.10029558876099356
num__PREV_INST_AMT_PAYMENT_MEAN_MAX,0.10014615662374786
num__ELEVATORS_AVG,0.09968545381896707
num__PREV_INST_AMT_INSTALMENT_MIN_MAX,0.09806625328718338
cat__ORGANIZATION_TYPE_Telecom,0.0975844372556706
num__PREV_INST_DAYS_INSTALMENT_SUM_MAX,0.09451484463182465
num__BUREAU_BB_MONTHS_BALANCE_STD_MEAN,0.09407876226385604
num__PREV_POS_CNT_INSTALMENT_MEAN_MEAN,0.09378272830060082
num__PREV_INST_AMT_PAYMENT_STD_MEAN,0.09232247593022774
cat__FLAG_OWN_CAR_N,0.09223598990124443
num__PREV_INST_DAYS_INSTALMENT_MAX_MAX,0.09216263357364299
cat__ORGANIZATION_TYPE_Transport: type 4,0.09130300726198257
num__PREV_INST_DAYS_ENTRY_PAYMENT_MEAN_MEAN,0.08951593238888639
num__COMMONAREA_MEDI,0.08944488916152761
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.08940292915074294
num__PREV_DAYS_FIRST_DRAWING_SUM,0.0892660435837166
