risk_segment,n_applicants,actual_default_rate,mean_predicted_probability,false_negatives,false_positives
1 (lowest risk),13082,0.014294450389848647,0.014900342015667666,187,0
2,12599,0.030161123898722123,0.03090857143445559,380,0
3,12217,0.05164934108209872,0.05228491814093378,631,0
4,12004,0.09330223258913696,0.0951304657877085,425,6109
5 (highest risk),11601,0.22816998534609084,0.22269839867425,0,8954
