model,imbalance_strategy,roc_auc,pr_auc,recall@0.5,precision@0.5,f1@0.5
LogisticRegression,class_weight,0.7692812739925003,0.2463177776644853,0.6977341389728097,0.1739627142050091,0.27849067979701553
LogisticRegression,smote,0.7591219013576846,0.23995272378642665,0.6708962739174219,0.17268238313093742,0.27466784856574483
XGBoost,smote,0.7499152168501226,0.23068192057295173,0.07205438066465257,0.40298507462686567,0.12225022425355601
XGBoost,class_weight,0.7344524240878466,0.22214331482097086,0.4253776435045317,0.21989692331719507,0.289920724801812
RandomForest,class_weight,0.7403096688092449,0.20710035434302443,0.0017119838872104733,0.5396825396825397,0.0034131405912764144
RandomForest,smote,0.7224916495656019,0.19996700984681787,0.0021148036253776435,0.65625,0.004216020879341498
DecisionTree,class_weight,0.704731756263635,0.18317331524676672,0.6636958710976838,0.14279833161800554,0.23502875228458076
DecisionTree,smote,0.658130515074471,0.12973608809070292,0.0809667673716012,0.1623914360735205,0.10805725421678651
