label,threshold,pr_auc,roc_auc,recall,precision,f1,brier_score,TN,FP,FN,TP,business_cost
LogisticRegression (Test),0.09,0.2568558682500895,0.7747427186456457,0.6731117824773414,0.18158109209453951,0.286007702182285,0.06680016520023578,41475,15063,1623,3342,31293
MLP (Test),0.09,0.24746964077787326,0.7690940406824567,0.6644511581067473,0.18578588725573014,0.2903793680133791,0.06705644251971196,42080,14458,1666,3299,31118
