threshold,TN,FP,FN,TP,recall,precision,f1,business_cost
0.01,752,33171,4,2975,0.9986572675394427,0.08230509599955735,0.15207667731629393,33211
0.02,8160,25763,115,2864,0.9613964417589795,0.1000454116742935,0.1812314117572613,26913
0.03,10767,23156,192,2787,0.9355488418932527,0.10742782253401688,0.19272526104695387,25076
0.04,15777,18146,383,2596,0.8714333669016449,0.12515668691543727,0.21887778761435014,21976
0.05,16948,16975,433,2546,0.8546492111446794,0.13042364632959377,0.2263111111111111,21305
0.060000000000000005,20388,13535,628,2351,0.7891910036925143,0.1479919425909606,0.2492446329181023,19815
0.06999999999999999,21167,12756,680,2299,0.7717354817052702,0.15270674194619727,0.2549628479538649,19556
0.08,21299,12624,690,2289,0.7683786505538771,0.15349024341178838,0.25586854460093894,19524
0.09,25059,8864,1030,1949,0.6542463914065123,0.18024600018496253,0.2826276102088167,19164
0.09999999999999999,25559,8364,1082,1897,0.6367908694192682,0.18487476854107787,0.2865558912386707,19184
0.11,26092,7831,1142,1837,0.6166498825109097,0.19000827472072818,0.29050367676128724,19251
0.12,27883,6040,1370,1609,0.5401141322591474,0.210354294679043,0.30278509597290176,19740
0.13,27904,6019,1373,1606,0.5391070829137294,0.21062295081967214,0.3029045643153527,19749
0.14,29710,4213,1652,1327,0.4454514937898624,0.2395306859205776,0.31153891301795983,20733
0.15000000000000002,29710,4213,1652,1327,0.4454514937898624,0.2395306859205776,0.31153891301795983,20733
0.16,30026,3897,1710,1269,0.4259818731117825,0.2456445993031359,0.3116022099447514,20997
0.17,30848,3075,1875,1104,0.37059415911379656,0.2641780330222541,0.30846605196982396,21825
0.18000000000000002,31534,2389,2025,954,0.3202416918429003,0.28537241998205204,0.3018032268269535,22639
0.19,31534,2389,2025,954,0.3202416918429003,0.28537241998205204,0.3018032268269535,22639
0.2,31534,2389,2025,954,0.3202416918429003,0.28537241998205204,0.3018032268269535,22639
0.21000000000000002,31534,2389,2025,954,0.3202416918429003,0.28537241998205204,0.3018032268269535,22639
0.22,31534,2389,2025,954,0.3202416918429003,0.28537241998205204,0.3018032268269535,22639
0.23,32458,1465,2296,683,0.2292715676401477,0.31797020484171323,0.266432611663741,24425
0.24000000000000002,32458,1465,2296,683,0.2292715676401477,0.31797020484171323,0.266432611663741,24425
0.25,32458,1465,2296,683,0.2292715676401477,0.31797020484171323,0.266432611663741,24425
0.26,33301,622,2590,389,0.130580731789191,0.3847675568743818,0.1949874686716792,26522
0.27,33301,622,2590,389,0.130580731789191,0.3847675568743818,0.1949874686716792,26522
0.28,33301,622,2590,389,0.130580731789191,0.3847675568743818,0.1949874686716792,26522
0.29000000000000004,33301,622,2590,389,0.130580731789191,0.3847675568743818,0.1949874686716792,26522
0.3,33301,622,2590,389,0.130580731789191,0.3847675568743818,0.1949874686716792,26522
0.31,33416,507,2640,339,0.11379657603222558,0.40070921985815605,0.1772549019607843,26907
0.32,33449,474,2655,324,0.10876132930513595,0.40601503759398494,0.1715647339158062,27024
0.33,33449,474,2655,324,0.10876132930513595,0.40601503759398494,0.1715647339158062,27024
0.34,33449,474,2655,324,0.10876132930513595,0.40601503759398494,0.1715647339158062,27024
0.35000000000000003,33449,474,2655,324,0.10876132930513595,0.40601503759398494,0.1715647339158062,27024
0.36000000000000004,33449,474,2655,324,0.10876132930513595,0.40601503759398494,0.1715647339158062,27024
0.37,33667,256,2778,201,0.06747230614300101,0.43982494529540483,0.1169965075669383,28036
0.38,33667,256,2778,201,0.06747230614300101,0.43982494529540483,0.1169965075669383,28036
0.39,33667,256,2778,201,0.06747230614300101,0.43982494529540483,0.1169965075669383,28036
0.4,33797,126,2863,116,0.03893924135615979,0.4793388429752066,0.0720273207078547,28756
0.41000000000000003,33797,126,2863,116,0.03893924135615979,0.4793388429752066,0.0720273207078547,28756
0.42000000000000004,33797,126,2863,116,0.03893924135615979,0.4793388429752066,0.0720273207078547,28756
0.43,33797,126,2863,116,0.03893924135615979,0.4793388429752066,0.0720273207078547,28756
0.44,33797,126,2863,116,0.03893924135615979,0.4793388429752066,0.0720273207078547,28756
0.45,33797,126,2863,116,0.03893924135615979,0.4793388429752066,0.0720273207078547,28756
0.46,33899,24,2948,31,0.010406176569318564,0.5636363636363636,0.02043506921555702,29504
0.47000000000000003,33899,24,2948,31,0.010406176569318564,0.5636363636363636,0.02043506921555702,29504
0.48000000000000004,33899,24,2948,31,0.010406176569318564,0.5636363636363636,0.02043506921555702,29504
0.49,33899,24,2948,31,0.010406176569318564,0.5636363636363636,0.02043506921555702,29504
0.5,33899,24,2948,31,0.010406176569318564,0.5636363636363636,0.02043506921555702,29504
0.51,33901,22,2950,29,0.009734810339039947,0.5686274509803921,0.01914191419141914,29522
0.52,33901,22,2950,29,0.009734810339039947,0.5686274509803921,0.01914191419141914,29522
0.53,33901,22,2950,29,0.009734810339039947,0.5686274509803921,0.01914191419141914,29522
0.54,33901,22,2950,29,0.009734810339039947,0.5686274509803921,0.01914191419141914,29522
0.55,33911,12,2962,17,0.005706612957368244,0.5862068965517241,0.011303191489361703,29632
0.56,33911,12,2962,17,0.005706612957368244,0.5862068965517241,0.011303191489361703,29632
0.5700000000000001,33911,12,2962,17,0.005706612957368244,0.5862068965517241,0.011303191489361703,29632
0.5800000000000001,33911,12,2962,17,0.005706612957368244,0.5862068965517241,0.011303191489361703,29632
0.59,33923,0,2979,0,0.0,0.0,0.0,29790
0.6,33923,0,2979,0,0.0,0.0,0.0,29790
0.61,33923,0,2979,0,0.0,0.0,0.0,29790
0.62,33923,0,2979,0,0.0,0.0,0.0,29790
0.63,33923,0,2979,0,0.0,0.0,0.0,29790
0.64,33923,0,2979,0,0.0,0.0,0.0,29790
0.65,33923,0,2979,0,0.0,0.0,0.0,29790
0.66,33923,0,2979,0,0.0,0.0,0.0,29790
0.67,33923,0,2979,0,0.0,0.0,0.0,29790
0.68,33923,0,2979,0,0.0,0.0,0.0,29790
0.6900000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.7000000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.7100000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.72,33923,0,2979,0,0.0,0.0,0.0,29790
0.73,33923,0,2979,0,0.0,0.0,0.0,29790
0.74,33923,0,2979,0,0.0,0.0,0.0,29790
0.75,33923,0,2979,0,0.0,0.0,0.0,29790
0.76,33923,0,2979,0,0.0,0.0,0.0,29790
0.77,33923,0,2979,0,0.0,0.0,0.0,29790
0.78,33923,0,2979,0,0.0,0.0,0.0,29790
0.79,33923,0,2979,0,0.0,0.0,0.0,29790
0.8,33923,0,2979,0,0.0,0.0,0.0,29790
0.81,33923,0,2979,0,0.0,0.0,0.0,29790
0.8200000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.8300000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.8400000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.85,33923,0,2979,0,0.0,0.0,0.0,29790
0.86,33923,0,2979,0,0.0,0.0,0.0,29790
0.87,33923,0,2979,0,0.0,0.0,0.0,29790
0.88,33923,0,2979,0,0.0,0.0,0.0,29790
0.89,33923,0,2979,0,0.0,0.0,0.0,29790
0.9,33923,0,2979,0,0.0,0.0,0.0,29790
0.91,33923,0,2979,0,0.0,0.0,0.0,29790
0.92,33923,0,2979,0,0.0,0.0,0.0,29790
0.93,33923,0,2979,0,0.0,0.0,0.0,29790
0.9400000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.9500000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.9600000000000001,33923,0,2979,0,0.0,0.0,0.0,29790
0.97,33923,0,2979,0,0.0,0.0,0.0,29790
0.98,33923,0,2979,0,0.0,0.0,0.0,29790
0.99,33923,0,2979,0,0.0,0.0,0.0,29790
